AQI,CO2,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
1,,230.31,0.0,4.5,55.08,0.12,0.64,1.68,2.72
2,,233.65,0.0,7.88,62.94,0.92,1.54,4.14,1.69
1,,240.33,0.0,15.59,49.35,0.71,1.33,4.88,4.12
2,,250.34,0.0,8.65,61.51,1.89,1.17,2.97,2.6
2,,223.64,0.0,1.74,69.38,0.32,0.5,1.34,1.69
1,,226.97,0.0,4.11,56.51,0.14,0.64,1.65,3.14
1,,230.31,0.0,15.94,57.22,0.54,1.65,7.06,3.2
2,,226.97,0.0,1.54,83.69,0.44,0.57,1.81,0.84
2,,257.02,0.0,11.14,60.8,4.47,2.72,5.87,1.84
1,,230.31,0.0,5.57,50.07,0.14,0.81,2.1,7.09
2,,220.3,0.0,0.85,78.68,0.52,0.52,1.72,0.04
1,,330.45,0.03,21.42,32.9,0.73,4.8,7.06,2.76
1,,240.33,0.0,17.99,47.21,0.74,1.56,6.22,4.94
2,,230.31,0.0,2.01,82.25,0.68,0.55,1.49,0.58
1,,243.66,0.0,21.25,47.92,4.05,2.57,7.78,3.07
1,,223.64,0.0,3.34,38.62,0.12,8.68,11.08,1.25
2,,220.3,0.0,1.93,72.96,0.75,0.5,0.95,0.55
2,,233.65,0.0,4.46,70.1,0.41,0.5,1.26,2.25
1,,250.34,0.0,8.91,33.62,0.57,3.23,3.81,0.6
1,,250.34,0.01,11.48,36.84,0.17,1.51,2.88,2.69
2,,220.3,0.0,1.01,75.1,0.36,0.55,1.82,0.83
2,,223.64,0.0,0.78,82.97,0.51,0.6,2.26,0.0
2,,226.97,0.0,11.65,65.8,1.03,2.12,8.2,2.5
2,,220.3,0.0,0.73,80.82,0.23,0.5,1.52,0.44
2,,223.64,0.0,2.01,68.67,0.32,0.5,1.21,1.36
2,,220.3,0.0,1.52,70.1,0.32,0.53,1.57,1.52
1,,220.3,0.0,1.35,50.07,0.1,7.44,11.74,0.69
2,,230.31,0.0,4.16,76.53,1.21,0.77,1.75,1.73
2,,220.3,0.0,0.92,79.39,0.58,0.61,2.22,0.0
2,,230.31,0.0,2.01,82.25,0.68,0.55,1.49,0.58
2,,380.52,0.0,20.91,74.39,4.23,20.54,25.17,1.36
1,,260.35,0.0,7.03,57.22,0.41,1.28,3.02,1.65
1,,240.33,0.0,17.99,47.21,0.74,1.56,6.22,4.94
1,,236.99,0.0,7.71,41.49,0.14,1.11,2.54,4.69
2,,230.31,0.0,10.03,60.08,2.18,2.33,6.86,2.69
1,,273.71,0.0,20.39,51.5,6.91,3.96,9.04,1.63
3,,198.6,0.0,2.53,27.18,0.28,45.66,47.55,0.0
2,,223.64,0.0,0.89,78.68,0.51,0.5,1.52,0.09
2,,220.3,0.0,1.03,80.11,0.23,0.5,1.54,0.89
2,,220.3,0.0,1.67,77.25,0.83,0.5,1.06,0.15
2,,243.66,0.0,3.26,52.93,0.35,18.69,21.82,1.08
